iter,cfi,t_s
180,11.890178821040514,1.3548846692279818e-06
181,11.890225442866335,1.3548846692279818e-06
182,11.890410565092868,1.3548846692279818e-06
183,11.890410565092886,1.3548846692279818e-06
184,11.890410565092889,1.3548846692279818e-06
185,11.89056171294895,1.3548846692279818e-06
186,11.890561712948955,1.3548846692279818e-06
187,11.891421883737966,1.3548846692279818e-06
188,11.89142188373797,1.3548846692279818e-06
189,11.892044635103769,1.3548846692279818e-06
190,11.892044972012815,1.3548770139130067e-06
191,11.892510175599387,1.3548770139130067e-06
192,11.892549895914053,1.3548770139130067e-06
193,11.892552353900399,1.3548504708449042e-06
194,11.892588799887108,1.3548504708449042e-06
195,11.892590557996279,1.3548240484834675e-06
196,11.893195515110438,1.3548240484834675e-06
197,11.893275671633354,1.3548240484834675e-06
198,11.893350218921597,1.3548240484834675e-06
199,11.89348404673045,1.3548240484834675e-06
200,11.89348404673046,1.3548240484834675e-06
201,11.895107649890672,1.3548240484834675e-06
202,11.895114660640013,1.3547835717402553e-06
203,11.895114660640022,1.3547835717402553e-06
204,11.895216730726734,1.3547835717402553e-06
205,11.895218755793511,1.3547573938313631e-06
206,11.895218755793525,1.3547573938313631e-06
207,11.895244202475467,1.3547573938313631e-06
208,11.895244202475471,1.3547573938313631e-06
209,11.895244202475475,1.3547573938313631e-06
210,11.895244202475478,1.3547573938313631e-06
211,11.89744666065727,1.3547573938313631e-06
212,11.897748659356822,1.3540382203804946e-06
213,11.89774865935685,1.3540382203804946e-06
214,11.897802106161906,1.3540382203804946e-06
215,11.898314928780618,1.3540382203804946e-06
216,11.898314928780632,1.3540382203804946e-06
217,11.89832928725036,1.3540382203804946e-06
218,11.899938029099621,1.3540382203804946e-06
219,11.90014792518459,1.3538149038667767e-06
220,11.900177366761916,1.3538149038667767e-06
221,11.900177366761966,1.3538149038667767e-06
222,11.900183482143968,1.3538149038667767e-06
223,11.900183482144012,1.3538149038667767e-06
224,11.900320506174786,1.3538149038667767e-06
225,11.900320506174788,1.3538149038667767e-06
226,11.90032050617479,1.3538149038667767e-06
227,11.900357552022172,1.3538149038667767e-06
228,11.90037116538849,1.3536858470567993e-06
229,11.900371165388503,1.3536858470567993e-06
230,11.900426056701328,1.3536858470567993e-06
231,11.900439826427814,1.3536858470567993e-06
232,11.900439826427816,1.3536858470567993e-06
233,11.900439826427824,1.3536858470567993e-06
234,11.900461764362971,1.3536858470567993e-06
235,11.900461764363158,1.3536858470567993e-06
236,11.900462767040835,1.3536858470567993e-06
237,11.9004627670409,1.3536858470567993e-06
238,11.900492240556815,1.3536858470567993e-06
239,11.900514910433376,1.3535561830287197e-06
240,11.900514910433408,1.3535561830287197e-06
241,11.900629910417175,1.3535561830287197e-06
242,11.90063762615478,1.3535139828714838e-06
243,11.900637626154781,1.3535139828714838e-06
244,11.900637626154783,1.3535139828714838e-06
245,11.901144163218774,1.3535139828714838e-06
246,11.901179068028606,1.3533832009085437e-06
247,11.901179068028622,1.3533832009085437e-06
248,11.901183305451596,1.3533832009085437e-06
249,11.901183305451603,1.3533832009085437e-06
250,11.901183567192934,1.3533832009085437e-06
251,11.901219218449032,1.3533832009085437e-06
252,11.901292180810966,1.3532492114439161e-06
253,11.901336788171566,1.3532492114439161e-06
254,11.90133678817157,1.3532492114439161e-06
255,11.901398082149417,1.3532492114439161e-06
256,11.901398082149427,1.3532492114439161e-06
257,11.901402245458922,1.3532492114439161e-06
258,11.901597772857013,1.3532492114439161e-06
259,11.901622347479277,1.3531191543834948e-06
260,11.901622347479286,1.3531191543834948e-06
261,11.902296714827138,1.3531191543834948e-06
262,11.902302053246698,1.3531191543834948e-06
263,11.9023020532467,1.3531191543834948e-06
264,11.902531147884881,1.3531191543834948e-06
265,11.90253587644624,1.3531191543834948e-06
266,11.902540493987726,1.3531191543834948e-06
267,11.902573094555615,1.3531191543834948e-06
268,11.902802543470692,1.3531191543834948e-06
269,11.90287014562778,1.3529857593431865e-06
270,11.902870145627794,1.3529857593431865e-06
271,11.902874274853493,1.3529857593431865e-06
272,11.902880123059512,1.3529857593431865e-06
273,11.90289071906628,1.3529340425029136e-06
274,11.902967782507456,1.3529340425029136e-06
275,11.902967782507474,1.3529340425029136e-06
276,11.903071511794746,1.3529340425029136e-06
277,11.903215518286942,1.3529340425029136e-06
278,11.90332968979947,1.3527705720327702e-06
279,11.903431832160226,1.3527705720327702e-06
280,11.90343183216023,1.3527705720327702e-06
281,11.90347821518376,1.3527705720327702e-06
282,11.90361535306015,1.3527705720327702e-06
283,11.903615353060157,1.3527705720327702e-06
284,11.903745704928722,1.3527705720327702e-06
285,11.90380645463602,1.3527705720327702e-06
286,11.90385719019827,1.3526386746773433e-06
287,11.903857190198277,1.3526386746773433e-06
288,11.903979890144303,1.3526386746773433e-06
289,11.90403282537443,1.3526386746773433e-06
290,11.90403427961887,1.3526386746773433e-06
291,11.904034279618871,1.3526386746773433e-06
292,11.90414953894197,1.3526386746773433e-06
293,11.904157309941167,1.352596666007733e-06
294,11.90415730994119,1.352596666007733e-06
295,11.904320905594837,1.352596666007733e-06
296,11.904322760523703,1.352596666007733e-06
297,11.90441099717918,1.352447151423726e-06
298,11.904421952896511,1.352447151423726e-06
299,11.904438992116802,1.352447151423726e-06
300,11.904467849359625,1.352447151423726e-06
301,11.904467916583178,1.3524455686498143e-06
302,11.90446791658318,1.3524455686498143e-06
303,11.904473848099146,1.3524455686498143e-06
304,11.90447384809917,1.3524455686498143e-06
305,11.90448982780461,1.3524455686498143e-06
306,11.904489827804614,1.3524455686498143e-06
307,11.904516428614835,1.3524455686498143e-06
308,11.904687926400735,1.3522341149743e-06
309,11.904687926400747,1.3522341149743e-06
310,11.904967875706781,1.3522341149743e-06
311,11.904968351197045,1.3522341149743e-06
312,11.905025873807409,1.3521017553284043e-06
313,11.905034418490416,1.3521017553284043e-06
314,11.905092775431253,1.351969327209962e-06
315,11.90509277543126,1.351969327209962e-06
316,11.905099190134528,1.351969327209962e-06
317,11.90509919013455,1.351969327209962e-06
318,11.905104920300616,1.351969327209962e-06
319,11.90510492030063,1.351969327209962e-06
320,11.905156391264352,1.351969327209962e-06
321,11.905156391264358,1.351969327209962e-06
322,11.905156391264367,1.351969327209962e-06
323,11.90515639126437,1.351969327209962e-06
324,11.905176934316728,1.351969327209962e-06
325,11.90518112574253,1.3519378334714635e-06
326,11.905181125742534,1.3519378334714635e-06
327,11.905183905387263,1.3519378334714635e-06
328,11.905183905387268,1.3519378334714635e-06
329,11.905183905387272,1.3519378334714635e-06
330,11.905183905387277,1.3519378334714635e-06
331,11.905183905387279,1.3519378334714635e-06
332,11.905206527733455,1.3519378334714635e-06
333,11.905206527733483,1.3519378334714635e-06
334,11.905226311229466,1.3519378334714635e-06
335,11.905226311229487,1.3519378334714635e-06
336,11.905245474416258,1.3519378334714635e-06
337,11.905338512443857,1.3519378334714635e-06
338,11.905342088269123,1.3519087056284502e-06
339,11.905342088269125,1.3519087056284502e-06
340,11.905358798053992,1.3519087056284502e-06
341,11.905366377474206,1.3519087056284502e-06
342,11.905421013258065,1.3519087056284502e-06
343,11.905467068286779,1.3519087056284502e-06
344,11.905478620497576,1.3519087056284502e-06
345,11.905546350035708,1.3517754932168272e-06
346,11.90554635003573,1.3517754932168272e-06
347,11.905560760407726,1.3517754932168272e-06
348,11.905627831470394,1.3517754932168272e-06
349,11.905630135728277,1.3517493624091068e-06
350,11.905630135728286,1.3517493624091068e-06
351,11.905678345239574,1.3517493624091068e-06
352,11.90568755729089,1.3517493624091068e-06
353,11.905692819995185,1.3517092408312927e-06
354,11.905738343307931,1.3517092408312927e-06
355,11.905820133634586,1.35157487236587e-06
356,11.905852395797247,1.35157487236587e-06
357,11.905866639578267,1.351445919558946e-06
358,11.905866639578276,1.351445919558946e-06
359,11.905909100081347,1.351445919558946e-06
360,11.905961846236663,1.351445919558946e-06
361,11.905961846236668,1.351445919558946e-06
362,11.906052774826195,1.351445919558946e-06
363,11.906298718952558,1.3511906849732959e-06
364,11.906298718952565,1.3511906849732959e-06
365,11.906299961494401,1.3511906849732959e-06
366,11.906308577764548,1.3511906849732959e-06
367,11.906338116380073,1.3511906849732959e-06
368,11.906338116380077,1.3511906849732959e-06
369,11.906437249071992,1.3511906849732959e-06
370,11.906576779567688,1.3509815366229815e-06
371,11.90657677956771,1.3509815366229815e-06
372,11.906578865202047,1.3509815366229815e-06
373,11.90658260690768,1.3509815366229815e-06
374,11.90658260690769,1.3509815366229815e-06
375,11.906660772345226,1.3509815366229815e-06
376,11.906694821922482,1.3508510948072816e-06
377,11.906694821922503,1.3508510948072816e-06
378,11.906718725581577,1.3508510948072816e-06
379,11.9070425700567,1.350571739236478e-06
380,11.907042570056703,1.350571739236478e-06
381,11.907042975636589,1.350571739236478e-06
382,11.907275065462304,1.350571739236478e-06
383,11.907590433962053,1.350291745247162e-06
384,11.907590433962067,1.350291745247162e-06
385,11.907603682696049,1.350291745247162e-06
386,11.90761094563241,1.3501637405992887e-06
387,11.90761094563244,1.3501637405992887e-06
388,11.907679690567026,1.3501637405992887e-06
389,11.907679690567036,1.3501637405992887e-06
390,11.907807359169965,1.3501637405992887e-06
391,11.907818412101738,1.3501120170046547e-06
392,11.90781841210174,1.3501120170046547e-06
393,11.907821275322389,1.3501120170046547e-06
394,11.907821275322402,1.3501120170046547e-06
395,11.907861833309173,1.3501120170046547e-06
396,11.907899509962018,1.3501120170046547e-06
397,11.907907296918792,1.3500701090549753e-06
398,11.90790729691881,1.3500701090549753e-06
399,11.907917721746774,1.3500701090549753e-06
400,11.907944706310804,1.3500701090549753e-06
401,11.907944706310811,1.3500701090549753e-06
402,11.907962900005536,1.3500701090549753e-06
403,11.907994565202495,1.3500701090549753e-06
404,11.908001386609836,1.3500701090549753e-06
405,11.908001898662437,1.3500591452739448e-06
406,11.908025657359303,1.3500591452739448e-06
407,11.90822107139176,1.3498455693934421e-06
408,11.908221071391761,1.3498455693934421e-06
409,11.908318602509558,1.3498455693934421e-06
410,11.908585826364767,1.3498455693934421e-06
411,11.908786523366267,1.3496316100018197e-06
412,11.908786523366269,1.3496316100018197e-06
413,11.908788018830233,1.3496316100018197e-06
414,11.90878898625691,1.3496316100018197e-06
415,11.908815891021241,1.3496316100018197e-06
416,11.908932844348385,1.3494682948767711e-06
417,11.908959205532508,1.3494682948767711e-06
418,11.908976671127649,1.3494682948767711e-06
419,11.90900070335223,1.3493388808741335e-06
420,11.909000703352238,1.3493388808741335e-06
421,11.909003565355068,1.3493388808741335e-06
422,11.909003565355071,1.3493388808741335e-06
423,11.90900401729872,1.3493388808741335e-06
424,11.909009768754812,1.3493388808741335e-06
425,11.909084474989566,1.3493388808741335e-06
426,11.909095031244524,1.3493388808741335e-06
427,11.909129140030931,1.3493388808741335e-06
428,11.909131830847539,1.349312692098748e-06
429,11.90913183084755,1.349312692098748e-06
430,11.909238651006465,1.349312692098748e-06
431,11.90924864263118,1.3491843007323232e-06
432,11.90924864263119,1.3491843007323232e-06
433,11.90927537517671,1.3491843007323232e-06
434,11.909373103593811,1.3490342080583029e-06
435,11.909373103593826,1.3490342080583029e-06
436,11.909460751753457,1.3490342080583029e-06
437,11.909653911411002,1.3483970224215989e-06
438,11.909653911411015,1.3483970224215989e-06
439,11.909824625150744,1.3483970224215989e-06
440,11.910004363891879,1.3483970224215989e-06
441,11.910363973640003,1.3483970224215989e-06
442,11.910384263025758,1.3483970224215989e-06
443,11.910396258895124,1.3483432766995829e-06
444,11.910396258895133,1.3483432766995829e-06
445,11.910417409520992,1.3483432766995829e-06
446,11.910430803154973,1.3483432766995829e-06
447,11.910430803154977,1.3483432766995829e-06
448,11.910546289858933,1.3483432766995829e-06
449,11.910563267661043,1.3482497809034917e-06
450,11.910678169826303,1.3482497809034917e-06
451,11.910686804747389,1.3482021618310236e-06
452,11.910714784367933,1.3482021618310236e-06
453,11.91071759037577,1.3481760040581182e-06
454,11.910717590375786,1.3481760040581182e-06
455,11.91078526127639,1.3481760040581182e-06
456,11.910824545035078,1.3480454201015824e-06
457,11.910824545035105,1.3480454201015824e-06
458,11.910863161232774,1.3480454201015824e-06
459,11.910960477065492,1.347895478264479e-06
460,11.911122724282198,1.347895478264479e-06
461,11.91112384512006,1.347895478264479e-06
462,11.911169690215582,1.3477643625293659e-06
463,11.911169690215596,1.3477643625293659e-06
464,11.91121020070847,1.3477643625293659e-06
465,11.911455183879298,1.3475096828373812e-06
466,11.911455183879301,1.3475096828373812e-06
467,11.911499210852206,1.3475096828373812e-06
468,11.91149921085221,1.3475096828373812e-06
469,11.911499210852217,1.3475096828373812e-06
470,11.911520564535238,1.3475096828373812e-06
471,11.911623021382423,1.3473518955999902e-06
472,11.911623021382425,1.3473518955999902e-06
473,11.911626346429998,1.3473518955999902e-06
474,11.911641355390667,1.3473518955999902e-06
475,11.91165272121783,1.3473518955999902e-06
476,11.911656145395249,1.3473518955999902e-06
477,11.91169514342807,1.3473518955999902e-06
478,11.911710458785533,1.3473518955999902e-06
479,11.91194627841315,1.3470982308712862e-06
480,11.911946278413163,1.3470982308712862e-06
481,11.911947343209697,1.3470982308712862e-06
482,11.91197339006521,1.3470982308712862e-06
483,11.912000489828586,1.3470982308712862e-06
484,11.912052519272233,1.3470982308712862e-06
485,11.91206853291193,1.3470982308712862e-06
486,11.912070985981279,1.3470982308712862e-06
487,11.912374202253321,1.346838303612036e-06
488,11.912390202630451,1.346838303612036e-06
489,11.912390202630453,1.346838303612036e-06
490,11.912595203076304,1.346838303612036e-06
491,11.912713203849439,1.3466750613491256e-06
492,11.912716297940928,1.3466750613491256e-06
493,11.91271629794095,1.3466750613491256e-06
494,11.912725108825068,1.3466750613491256e-06
495,11.912726243436882,1.3466560960926831e-06
496,11.912732635272267,1.3466560960926831e-06
497,11.91295486530916,1.3466560960926831e-06
498,11.912954865309162,1.3466560960926831e-06
499,11.912979084069583,1.3466560960926831e-06
500,11.913013095529497,1.3466560960926831e-06
501,11.913106631631834,1.3466560960926831e-06
502,11.913116433607142,1.3466560960926831e-06
503,11.913118155057006,1.3466560960926831e-06
504,11.913118155057024,1.3466560960926831e-06
505,11.913432205953047,1.3466560960926831e-06
506,11.913439455155572,1.3466560960926831e-06
507,11.913468575985782,1.3465263623262187e-06
508,11.913468575985798,1.3465263623262187e-06
509,11.913470592050821,1.3465263623262187e-06
510,11.913607770879068,1.3465263623262187e-06
511,11.913616988825034,1.3464786629342024e-06
512,11.913631569401918,1.3464786629342024e-06
513,11.913631569401929,1.3464786629342024e-06
514,11.913679545891757,1.3464786629342024e-06
515,11.913812878753514,1.3464786629342024e-06
516,11.913817539524207,1.3464387651547002e-06
517,11.913828639547601,1.3464387651547002e-06
518,11.913858147237404,1.3464387651547002e-06
519,11.91389242509426,1.3464387651547002e-06
520,11.91392935306736,1.3464387651547002e-06
521,11.914097429462846,1.346228081222849e-06
522,11.91409742946286,1.346228081222849e-06
523,11.914126382106101,1.346228081222849e-06
524,11.914132313019927,1.3461880462074832e-06
525,11.914132313019941,1.3461880462074832e-06
526,11.914133679147849,1.3461880462074832e-06
527,11.914133679147852,1.3461880462074832e-06
528,11.914142998483172,1.3461880462074832e-06
529,11.914199334229961,1.3461880462074832e-06
530,11.914303922219235,1.3461880462074832e-06
531,11.914410279126022,1.3460301261255573e-06
532,11.914502346235183,1.3460301261255573e-06
533,11.914573811271136,1.3458972007751178e-06
534,11.91457525139288,1.3458972007751178e-06
535,11.914575251392883,1.3458972007751178e-06
536,11.914581333660351,1.3458972007751178e-06
537,11.914604136797436,1.3458972007751178e-06
538,11.914604136797445,1.3458972007751178e-06
539,11.914614638476705,1.3458972007751178e-06
540,11.91461602044377,1.3458972007751178e-06
541,11.914616020443795,1.3458972007751178e-06
542,11.914677254879837,1.3458972007751178e-06
543,11.914677254879855,1.3458972007751178e-06
544,11.914739712914006,1.3458972007751178e-06
545,11.914943556582042,1.3456760553987596e-06
546,11.914943556582049,1.3456760553987596e-06
547,11.91503609750035,1.3456760553987596e-06
548,11.915036452853101,1.3456760553987596e-06
549,11.915261053999131,1.3454519212379731e-06
550,11.915261951866139,1.3454519212379731e-06
551,11.915470837286339,1.3454519212379731e-06
552,11.915560849333442,1.3453030797062674e-06
553,11.915603013599046,1.3453030797062674e-06
554,11.915606114286927,1.3453030797062674e-06
555,11.915661222790911,1.3453030797062674e-06
556,11.915688209128566,1.345174045311865e-06
557,11.915779599280366,1.345174045311865e-06
558,11.915787242037656,1.3451323611330242e-06
559,11.91578724203767,1.3451323611330242e-06
